Date,Open,High,Low,Close,Volume,Change(%)
2018-06-27,185.23,187.28,184.03,184.16,25272501.0,-0.27(-0.15%)
2018-06-26,182.99,186.53,182.54,184.43,24546328.0,+2.26(+1.24%)
2018-06-25,183.4,184.92,180.74,182.17,31649437.0,-2.75(-1.49%)
2018-06-22,186.12,186.15,184.7,184.92,27200447.0,-0.54(-0.29%)
2018-06-21,187.25,188.35,184.98,185.46,25707173.0,-1.04(-0.56%)
2018-06-20,186.35,187.2,185.73,186.5,20617664.0,+0.81(+0.44%)
2018-06-19,185.14,186.33,183.45,185.69,33561305.0,-3.05(-1.62%)
2018-06-18,187.88,189.22,187.21,188.74,18467215.0,-0.10(-0.05%)
2018-06-14,191.55,191.57,190.22,190.8,21599788.0,+0.10(+0.05%)
2018-06-13,192.42,192.88,190.44,190.7,21634767.0,-1.58(-0.82%)
2018-06-12,191.38,192.61,191.15,192.28,16897920.0,+1.05(+0.55%)
2018-06-11,191.35,191.97,190.21,191.23,18301665.0,-0.47(-0.25%)
2018-06-08,191.17,192.0,189.77,191.7,26656799.0,-1.76(-0.91%)
2018-06-07,194.14,194.2,192.34,193.46,21340430.0,-0.52(-0.27%)
2018-06-06,193.63,194.08,191.92,193.98,20925726.0,+0.67(+0.35%)
2018-06-05,193.07,193.94,192.36,193.31,21561649.0,+1.48(+0.77%)
2018-06-04,191.63,193.42,191.35,191.83,26253302.0,+1.59(+0.84%)
2018-06-01,187.99,190.26,187.75,190.24,23442510.0,+3.37(+1.80%)
2018-05-31,187.22,188.23,186.14,186.87,27477538.0,-0.63(-0.34%)
2018-05-30,187.72,188.0,186.78,187.5,18686869.0,-0.40(-0.21%)
2018-05-29,187.6,188.75,186.87,187.9,22507457.0,-0.68(-0.36%)
2018-05-24,188.77,188.84,186.21,188.15,23228294.0,-0.21(-0.11%)
2018-05-23,186.35,188.5,185.76,188.36,20045283.0,+1.20(+0.64%)
2018-05-22,188.38,188.88,186.78,187.16,15237109.0,-0.47(-0.25%)
2018-05-21,188.0,189.27,186.91,187.63,18398108.0,+1.32(+0.71%)
2018-05-18,187.19,187.81,186.13,186.31,18297728.0,-0.68(-0.36%)
2018-05-17,188.0,188.91,186.36,186.99,17290633.0,-1.19(-0.63%)
2018-05-16,186.07,188.46,186.0,188.18,19179259.0,+1.74(+0.93%)
2018-05-15,186.78,187.07,185.1,186.44,23676070.0,-1.71(-0.91%)
2018-05-14,189.01,189.53,187.86,188.15,20769121.0,-0.44(-0.23%)
2018-05-11,189.49,190.06,187.45,188.59,26212221.0,-1.45(-0.76%)
2018-05-10,187.74,190.37,187.65,190.04,27969077.0,+2.68(+1.43%)
2018-05-09,186.55,187.4,185.22,187.36,23200900.0,+1.31(+0.70%)
2018-05-08,184.99,186.21,183.66,186.05,28390545.0,+0.89(+0.48%)
2018-05-07,185.18,187.67,184.75,185.16,42525901.0,+1.33(+0.72%)
2018-05-04,178.25,184.25,178.17,183.83,56201317.0,+6.94(+3.92%)
2018-05-03,175.88,177.5,174.44,176.89,34049734.0,+0.32(+0.18%)
2018-05-02,175.23,177.75,173.8,176.57,66513337.0,+7.47(+4.42%)
2018-05-01,166.41,169.2,165.27,169.1,53427619.0,+3.84(+2.32%)
2018-04-30,162.13,167.26,161.84,165.26,42387444.0,+2.94(+1.81%)
2018-04-27,164.0,164.28,160.63,162.32,35655839.0,-1.90(-1.16%)
2018-04-26,164.12,165.73,163.37,164.22,27955415.0,+0.57(+0.35%)
2018-04-25,162.62,165.42,162.41,163.65,28367714.0,+0.71(+0.44%)
2018-04-24,165.67,166.33,161.22,162.94,33687417.0,-2.30(-1.39%)
